
 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.1     17.1     ***
 ANSYS Multiphysics                                
 00000000  VERSION=WINDOWS x64   23:38:23  NOV 14, 2016 CP=    172.062

                                                                               



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          9 TEMP    
                  TEMP    
   50.000         28.3193    
   100.00         92.6365    
   150.00         162.000    
   200.00         231.819    
   250.00         301.649    
   300.00         371.478    
   350.00         441.307    
   400.00         511.136    
   450.00         580.966    
   500.00         650.795    
   550.00         720.624    
   600.00         790.453    
   650.00         860.283    
   700.00         930.112    
   750.00         999.941    
   800.00         1069.77    
   850.00         1139.60    
   900.00         1209.43    
   950.00         1279.26    
   1000.0         1349.09    
